,movie,year,imdb,metascore,votes
0,Inception,(2010),8.8,74        ,"2,258,044"
1,Shutter Island,(2010),8.2,63        ,"1,250,916"
2,Toy Story 3,(2010),8.3,92        ,"810,234"
3,Iron Man 2,(2010),7.0,57        ,"788,680"
4,Black Swan,(2010),8.0,79        ,"743,470"
5,How to Train Your Dragon,(2010),8.1,75        ,"716,386"
6,The Social Network,(2010),7.8,95        ,"680,120"
7,The King's Speech,(2010),8.0,88        ,"669,312"
8,Kick-Ass,(2010),7.6,66        ,"551,580"
9,Despicable Me,(2010),7.6,72        ,"531,263"
10,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65        ,"528,081"
11,Tangled,(2010),7.8,71        ,"438,297"
12,Scott Pilgrim vs. the World,(2010),7.6,69        ,"413,939"
13,Alice in Wonderland,(I) (2010),6.4,53        ,"405,353"
14,Easy A,(2010),7.0,72        ,"382,713"
15,The Town,(2010),7.5,74        ,"380,851"
16,127 Hours,(2010),7.6,82        ,"369,979"
17,The Fighter,(I) (2010),7.8,79        ,"358,981"
18,The Expendables,(2010),6.4,45        ,"340,526"
19,Due Date,(2010),6.5,51        ,"338,856"
20,True Grit,(2010),7.6,80        ,"332,692"
21,Tron,(2010),6.8,49        ,"329,968"
22,The Book of Eli,(2010),6.8,53        ,"311,793"
23,Salt,(2010),6.5,65        ,"310,128"
24,RED,(2010),7.0,60        ,"304,467"
25,Insidious,(I) (2010),6.8,52        ,"299,899"
26,Prince of Persia: The Sands of Time,(2010),6.6,50        ,"285,473"
27,Clash of the Titans,(2010),5.8,39        ,"279,743"
28,Robin Hood,(2010),6.6,53        ,"265,354"
29,The Other Guys,(2010),6.6,64        ,"261,881"
30,The A-Team,(2010),6.7,47        ,"256,380"
31,Megamind,(2010),7.3,63        ,"251,378"
32,Grown Ups,(I) (2010),5.9,30        ,"246,067"
33,The Twilight Saga: Eclipse,(2010),5.0,58        ,"241,745"
34,The Tourist,(I) (2010),6.0,37        ,"237,969"
35,Predators,(2010),6.4,51        ,"222,393"
36,Shrek Forever After,(2010),6.3,58        ,"199,365"
37,Love & Other Drugs,(2010),6.7,55        ,"198,880"
38,Machete,(2010),6.6,60        ,"196,198"
39,The Next Three Days,(2010),7.3,52        ,"195,022"
40,Unstoppable,(2010),6.8,69        ,"194,824"
41,Blue Valentine,(2010),7.4,81        ,"194,382"
42,Knight and Day,(2010),6.3,46        ,"191,684"
43,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,47        ,"186,165"
44,The Karate Kid,(2010),6.2,61        ,"177,815"
45,Get Him to the Greek,(2010),6.4,65        ,"176,740"
46,Tucker and Dale vs Evil,(2010),7.5,65        ,"175,737"
47,Hot Tub Time Machine,(2010),6.4,63        ,"171,978"
48,Incendies,(2010),8.3,80        ,"170,985"
49,Resident Evil: Afterlife,(2010),5.8,37        ,"169,551"
50,The Ghost Writer,(2010),7.2,77        ,"162,108"
51,The Last Airbender,(2010),4.0,20        ,"161,405"
52,Date Night,(2010),6.3,56        ,"160,894"
53,The Sorcerer's Apprentice,(2010),6.1,46        ,"160,259"
54,Buried,(2010),7.0,65        ,"158,761"
55,The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),6.3,53        ,"151,508"
56,Dear John,(I) (2010),6.3,43        ,"146,893"
57,Remember Me,(I) (2010),7.1,40        ,"145,185"
58,Never Let Me Go,(2010),7.1,69        ,"144,084"
59,Devil,(2010),6.3,44        ,"143,275"
60,It's Kind of a Funny Story,(2010),7.1,63        ,"142,037"
61,Winter's Bone,(2010),7.1,90        ,"141,848"
62,Green Zone,(2010),6.8,63        ,"136,265"
63,She's Out of My League,(2010),6.4,46        ,"135,841"
64,Life as We Know It,(2010),6.5,39        ,"130,364"
65,The Kids Are All Right,(2010),7.1,86        ,"129,700"
66,The Bounty Hunter,(I) (2010),5.5,22        ,"126,420"
67,Ang-ma-reul bo-at-da,(2010),7.8,67        ,"125,395"
68,Let Me In,(I) (2010),7.1,79        ,"119,993"
69,The Crazies,(2010),6.5,56        ,"119,321"
70,Valentine's Day,(I) (2010),5.7,34        ,"119,030"
71,From Paris with Love,(2010),6.4,42        ,"116,476"
72,The Way Back,(I) (2010),7.3,66        ,"115,350"
73,Little Fockers,(2010),5.5,27        ,"111,561"
74,Faster,(2010),6.4,44        ,"106,350"
75,The Wolfman,(2010),5.8,43        ,"106,035"
76,Dinner for Schmucks,(2010),5.9,56        ,"105,683"
77,Repo Men,(2010),6.3,32        ,"105,521"
78,My Name Is Khan,(2010),8.0,50        ,"105,041"
79,Legion,(2010),5.2,32        ,"104,078"
80,The Switch,(I) (2010),6.1,52        ,"103,910"
81,Yip Man 2,(2010),7.5,67        ,"103,640"
82,Paranormal Activity 2,(2010),5.7,53        ,"103,078"
83,Leap Year,(2010),6.4,33        ,"102,691"
84,Wall Street: Money Never Sleeps,(2010),6.2,59        ,"102,061"
85,The Losers,(I) (2010),6.3,44        ,"99,821"
86,A Nightmare on Elm Street,(2010),5.2,35        ,"98,919"
87,Letters to Juliet,(2010),6.5,50        ,"98,804"
88,Saw 3D,(2010),5.6,24        ,"97,200"
89,The American,(2010),6.3,61        ,"95,950"
90,Eat Pray Love,(2010),5.8,50        ,"95,597"
91,Edge of Darkness,(2010),6.6,55        ,"93,764"
